4195A Spectrum Analyzer 2021/01/12 18:32:27,Commercial Radio FM Band,,
N,FREQUENCY [ Hz ],DBm,Phase
193,99600000.000000,-8.104050e+01,-7.025780e+01
194,99650000.000000,-8.383930e+01,-6.867290e+01
195,99700000.000000,-8.956280e+01,-6.706490e+01
196,99750000.000000,-8.688330e+01,-6.559120e+01
197,99800000.000000,-8.819870e+01,-6.408670e+01
198,99850000.000000,-8.473800e+01,-6.257660e+01
199,99900000.000000,-8.575740e+01,-6.102460e+01
200,99950000.000000,-8.363440e+01,-5.957390e+01
201,100000000.000000,-8.733600e+01,-5.805980e+01
202,100050000.000000,-8.880920e+01,-5.647770e+01
203,100100000.000000,-8.708310e+01,-5.490460e+01
204,100150000.000000,-8.568920e+01,-5.336730e+01
205,100200000.000000,-8.560790e+01,-5.190390e+01
206,100250000.000000,-8.355590e+01,-5.031150e+01
207,100300000.000000,-7.480490e+01,-4.882620e+01
208,100350000.000000,-8.353420e+01,-4.729920e+01
209,100400000.000000,-8.182110e+01,-4.581300e+01
210,100450000.000000,-8.221850e+01,-4.434660e+01
211,100500000.000000,-8.768220e+01,-4.282670e+01
212,100550000.000000,-8.298980e+01,-4.130200e+01
213,100600000.000000,-8.558520e+01,-3.972190e+01
214,100650000.000000,-8.739550e+01,-3.826420e+01
215,100700000.000000,-8.818430e+01,-3.670800e+01
216,100750000.000000,-8.363100e+01,-3.519810e+01
217,100800000.000000,-8.765320e+01,-3.370600e+01
218,100850000.000000,-8.771570e+01,-3.222480e+01
219,100900000.000000,-8.494670e+01,-3.067570e+01
220,100950000.000000,-8.237400e+01,-2.927360e+01
221,101000000.000000,-7.820370e+01,-2.775890e+01
222,101050000.000000,-7.603000e+01,-2.620540e+01
223,101100000.000000,-7.478960e+01,-2.478200e+01
224,101150000.000000,-7.534170e+01,-2.321310e+01
225,101200000.000000,-8.166850e+01,-2.177220e+01
226,101250000.000000,-8.536410e+01,-2.018860e+01
227,101300000.000000,-8.527970e+01,-1.875210e+01
228,101350000.000000,-8.472850e+01,-1.720280e+01
229,101400000.000000,-8.431660e+01,-1.575920e+01
230,101450000.000000,-8.659640e+01,-1.428990e+01
231,101500000.000000,-8.683920e+01,-1.277970e+01
232,101550000.000000,-8.437020e+01,-1.132910e+01
233,101600000.000000,-8.684990e+01,-9.752430e+00
234,101650000.000000,-8.503760e+01,-8.349040e+00
235,101700000.000000,-8.435430e+01,-6.786800e+00
236,101750000.000000,-8.516880e+01,-5.238150e+00
237,101800000.000000,-8.277000e+01,-3.773190e+00
238,101850000.000000,-7.721230e+01,-2.272090e+00
239,101900000.000000,-7.664160e+01,-8.232250e-01
240,101950000.000000,-7.747300e+01,7.133180e-01
241,102000000.000000,-8.028350e+01,2.263360e+00
242,102050000.000000,-8.158220e+01,3.740740e+00
243,102100000.000000,-8.691940e+01,5.290370e+00
244,102150000.000000,-8.509110e+01,6.855850e+00
245,102200000.000000,-8.044350e+01,8.260270e+00
246,102250000.000000,-8.393030e+01,9.754510e+00
247,102300000.000000,-8.586030e+01,1.124740e+01
248,102350000.000000,-8.103260e+01,1.277350e+01
249,102400000.000000,-8.624020e+01,1.431130e+01
250,102450000.000000,-8.417140e+01,1.571050e+01
251,102500000.000000,-8.043380e+01,1.732210e+01
252,102550000.000000,-8.558360e+01,1.874670e+01
253,102600000.000000,-8.391370e+01,2.028150e+01
254,102650000.000000,-7.989080e+01,2.168080e+01
255,102700000.000000,-7.686470e+01,2.324220e+01
256,102750000.000000,-8.242390e+01,2.473370e+01
257,102800000.000000,-8.586780e+01,2.606540e+01
258,102850000.000000,-8.468270e+01,2.766190e+01
259,102900000.000000,-8.988320e+01,2.915160e+01
260,102950000.000000,-8.402720e+01,3.047780e+01
261,103000000.000000,-8.513740e+01,3.192000e+01
262,103050000.000000,-8.527910e+01,3.340230e+01
263,103100000.000000,-8.372230e+01,3.489160e+01
264,103150000.000000,-8.109040e+01,3.635450e+01
265,103200000.000000,-8.095640e+01,3.778620e+01
266,103250000.000000,-8.284450e+01,3.927990e+01
267,103300000.000000,-8.353910e+01,4.087490e+01
268,103350000.000000,-8.147450e+01,4.218430e+01
